COUNTRY,% of Startups Exiting via Acquisition or IPO,Availability of Alternative Finance,Availability of Growth-Stage Capital for Scaleups,Availability of legal and accounting services for entrepreneurs.,"Availability of tech services (fintech services, crypto)",Average Time to Close a Funding Round,"Branches of multinational companies (e.g. Google, Microsoft)",Corporate tax rate,Corruption index / Rule of law,"Cost of Internet (60 Mbps or more, unlimited data cable/adsl) utlities monthly in USD",Cost of internet per month/USD,Cost starting a business (% of income per capita),Diversity and Inclusion Index-wage inequality,Diversity of Startup Funding Sources,E-Government Index,Early-Stage Funding Growth,Early-stage Funding Volume,Ease of getting credit,Ease of starting a business index,Ecosystem Networking Activity: Count of Meetup Groups/ Entrepreneurship Networking events,Emerging Investor Base: New Investors with less than 5 years of activity,Employee Engagement,English proficiency,Entrepreneurship as a good career choice rate,FDI Confidence index emerging markets rankings,Fear of failure rate,Female/Male TEA Ratio,Financial Literacy,Financial market development Index,Global Innovation Index,Government R&D Expenditure % GDP,Government effectiveness,Growth Rates in Biotech,Growth Rates in Cleantech,Growth Rates in Fintech,Growth Rates in Tech,H-index,Human Development Index,IP Protection Score,Industry association memberships,Internet freedom,Internet speed,Migration management,Number of Accelerators,Number of Angel Investors Supporting Startups,Number of Co-Working Spaces Supporting Startups,Number of Corporate Innovation Challenges or Hackathons Hosted,Number of Corporate Venture Capital (CVC) Funds investing in local Startups,Number of Ecosystem Networking Events Organized,Number of Funding Rounds Closed,Number of IPOs in the Last 5 Years,Number of Investors/VCs,Number of Mentions or Features in National or International Media,Number of Research Publications in High-Impact Journals,Number of STEM graduates,Number of Scaleups Featured in National or International Media,Number of Startup or Innovation-Ready Service Providers,Number of Startup-Ready Service Providers,Number of Startups Created,Number of Startups and Projects Supported by Service Providers,Number of VC investors older than 5 years,Number of contributions by top 1000 GitHub users,Number of coworking spaces,Number of cumulative unicorns,Number of exits above 1B,Number of exits above 50M,Number of global startup events,Number of incubators,Number of research institutes,Number of startup competitions,Perceived opportunities rate,Percentage of Scaleup-Ready Service Providers,Percentage of Startups Receiving Investment,Percentage of Startups Securing Series A or Beyond,Percentage of Startups with Access to Seed or Early-Stage Funding,Percentage of enrollment in secondary education,Political transformation index,Presence of international influencers (like Tim Cook),Public Open Data Initiatives,Public capital market activity,Quality of Vocational Trainings,"R&D centers of multinational companies (e.g. Alphabet, Microsoft, Meta)",Ratio of Series A to seed,Ratio of Series C to Series A Startups,Regulatory quality,Salary of software engineers,Score of data science and tech skills,Startup Survival Rate (2+ Years),Startups to total number of companies ratio,Strength of IP Laws Score,Tax wedge,Top Universities per country,Total Capital Invested in Startups,Total Capital Invested in Startups and Scaleups,Total Funding Raised by Startups,Total Funding Raised by Startups and Scaleups,Total Government Funding allocated to early-stage Startups and Scale-ups,Total Growth-Stage Capital Invested in Scaleups,Total Number of Startups and Scaleups,Total Public Funding Allocated to Innovation and Entrepreneurship,Unemployment Rate,Youth Labour Participation rate
Burundi,4.613067218,,0.0,0.0,95.45454545,0.0,0.0,16.66666667,9.91,,,0.0,,0.0,26.13636364,,0.000123669,15.0,87.3015873,0.0,0.0,,,,,,,18.96551724,,5.235602094,,10.38,,,,,4.997501249,6.814310051,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,3.603221917,,,,,,0.0,,0.0,,0.0,0.0,36.55705996,0.0,24.21052632,25.99009901,,44.21997755,0.0,41.19091467,0.0,0.0,,17.45,0.0,,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,97.71428571,56.52173913
Cambodia,10.51595066,,0.0,0.0,77.27272727,0.0,0.0,44.44444444,21.23,,,0.0,,0.0,47.72727273,64.22,0.009236753,80.0,75.66137566,0.0,0.0,22.5,5.0,,,,,8.620689655,,16.92844677,,36.79,,,,,6.246876562,37.47870528,,0.0,40.0,12.943583750000002,,0.135317997,0.0,0.0,0.0,0.082242045,0.0,0.0,0.0,0.045047009,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.134665021,13.82376582,0.170794193,,,,0.152,0.141843972,,0.0,,0.0,0.0,23.45999222,0.0,34.73684211,30.07425743,,40.29180696,0.0,25.1995089,0.0,31.13772455,0.0,25.0,0.34981889,,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,99.71428571,75.36231884
Cameroon,2.501701838,,0.0,0.0,92.42424242,0.0,0.0,8.33333333,15.57,56.06666981,56.06666981,0.0,,0.0,40.90909091,29.38,0.003255717,60.0,87.83068783,0.0,0.0,22.5,21.25,,,,,43.10344828,,7.329842932,,18.87,,,,,15.817091449999998,35.26405451,,0.0,,1.663256358,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.004359388,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.011222085,18.03972135,0.341588386,,,,0.005333333,0.0,,0.0,,0.0,0.0,12.74475524,0.0,43.15789474,32.7970297,,47.69921437,0.0,39.50276243,0.0,26.34730539,0.0,19.34,4.564846502,52.52525253,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,90.0,30.43478261
Canada,40.70110566,13.103964899999998,0.0,0.0,9.848484848,0.0,0.0,27.38888889,92.92,24.99646876,24.99646876,0.0,19.36936937,0.0,86.36363636,47.1,4.602506828,85.0,11.64021164,0.0,0.0,40.0,,64.58246492,,18.92870759,33.0,94.82758621,77.94117647,74.52006981,30.54378108,94.34,48.88888889,55.55555556,42.62295082,50.51546392,67.54122939,94.54855196,76.33325141,0.0,90.58823529,68.585209,92.10526316,10.28416779,0.0,0.0,0.0,11.00778136,0.0,0.0,42.91581109,5.796532833,0.0,0.0,54.09979566999999,0.0,0.0,0.0,0.0,0.0,7.799349119,66.13068524,8.625106746,3.053435115,6.698564593,12.41519674,9.482666667,13.33333333,1.95599022,0.0,61.94261582,0.0,0.0,27.42134747,0.0,100.0,,41.46341463,85.18518519,0.0,64.34929405,0.0,26.34730539,16.0,95.75,61.97064640999999,18.18181818,0.0,17.66993819,83.03022856,39.58325451,,0.0,0.0,0.0,0.0,55.74074073999999,0.0,0.0,0.0,84.85714286,73.91304348
Cayman Islands,32.51407586,,0.0,0.0,,0.0,0.0,100.0,74.53,,,0.0,,0.0,,65.35,0.163263699,,,0.0,0.0,,,,,,,,,,,87.74,,,,,,,,0.0,,,,0.338294993,0.0,0.0,0.0,0.430189157,0.0,0.0,1.540041068,0.268828923,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.785545954,,0.0,0.0,,,,0.425531915,,0.0,,0.0,0.0,30.97793076,0.0,,,0.487804878,,0.0,,0.0,,22.0,83.49,98.86803887,,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,
Central African Republic,0.0,,0.0,0.0,,0.0,0.0,16.66666667,3.7699999999999996,,,0.0,,0.0,5.681818182,,,35.0,96.82539683,0.0,0.0,,,,,,,,,,,4.25,,,,,2.498750625,1.192504259,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.011222085,,,,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,8.421052632,22.77227723,,27.27272727,0.0,,0.0,,,6.13,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,83.42857143,68.11594203
Chad,20.64896755,,0.0,0.0,,0.0,0.0,2.77777778,8.02,,,0.0,,0.0,11.36363636,,0.000240442,30.0,95.76719577,0.0,0.0,32.5,,,,,,22.4137931,,,,8.49,,,,,,2.385008518,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.393864291,0.170794193,,,,,0.0,,0.0,,0.0,0.0,23.37662338,0.0,14.736842110000001,15.84158416,,28.39506173,0.0,21.83855126,0.0,,,12.740000000000002,7.96833029,,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,97.14285714,37.68115942
Chile,21.12247329,8.234790518,0.0,0.0,37.87878788,0.0,0.0,25.0,72.64,7.716935826,7.716935826,0.0,43.24324324,0.0,85.22727273,56.25,0.150939886,55.00000000000001,30.687830690000002,0.0,0.0,67.5,53.75,65.81909129,20.59369202,45.02478079,64.0,48.27586207,,39.09249564,,69.34,,,,,35.15742129,81.77172061,43.76996805,0.0,90.58823529,80.76585794,56.57894737,1.082543978,0.0,0.0,0.0,0.56304169,0.0,0.0,0.0,0.292078992,0.0,0.0,48.32784617,0.0,0.0,0.0,0.0,0.0,0.460105488,23.64927323,2.220324509,0.152671756,,,0.232,1.134751773,1.711491443,0.0,58.03005838000001,0.0,0.0,33.28197227,0.0,88.42105263,92.07920792,3.414634146,61.72839506,0.0,60.81952118,0.0,13.17365269,13.0,81.13,25.43597354,57.57575758,0.0,2.657431258,52.60506267,86.44228865,24.69135802,0.0,0.0,0.0,0.0,34.62962963,0.0,0.0,0.0,74.57142857,23.1884058
China,27.96760992,,0.0,0.0,7.575757576,0.0,0.0,30.55555556,52.83,2.650783935,2.650783935,0.0,35.81081081,0.0,81.81818182,42.15,24.58917716,60.0,16.4021164,0.0,0.0,37.5,24.16666667,77.54619981,100.0,0.0,86.0,25.862068970000003,72.68907563,80.45375218,43.77697389,68.4,100.0,100.0,100.0,100.0,65.04247876,69.50596252,53.77242566,0.0,0.0,70.57585501,28.947368420000004,2.232746955,0.0,0.0,0.0,23.99569811,0.0,0.0,60.52361396,10.37243704,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,19.87431265,56.598064169999994,2.561912895,25.49618321,2.511961722,2.713704206,6.074666667,13.04964539,100.0,0.0,70.1900385,0.0,0.0,55.33968374,0.0,,40.96534653,80.48780488,40.51627385,0.0,51.012891339999996,0.0,70.05988024,20.0,36.79,46.1500921,66.66666667,0.0,8.45114379,53.77242566,,,0.0,0.0,0.0,0.0,57.77777778000001,0.0,0.0,0.0,86.85714286,49.27536232
Colombia,16.17398065,,0.0,0.0,45.45454545,0.0,0.0,2.77777778,38.68,8.390225529,8.390225529,0.0,,0.0,72.72727273,47.44,0.252357253,90.0,34.92063492,0.0,0.0,50.0,37.5,44.19897179,8.53432282,56.44300419,96.0,32.75862069,,33.15881326,,53.77000000000001,,,,,30.184907550000002,64.39522998,42.68862128,0.0,65.88235294,47.63519439,,0.744248985,0.0,0.0,0.0,0.47447333499999994,0.0,0.0,0.256673511,0.294985251,0.0,0.0,45.42298385,0.0,0.0,0.0,0.0,0.0,0.594770508,25.59079644,2.305721605,0.305343512,,,0.42666666699999994,0.709219858,,0.0,58.70078251,0.0,0.0,16.10442136,0.0,75.78947368,63.49009901,1.463414634,63.2996633,0.0,49.21731123,0.0,19.16167665,15.0,56.60000000000001,21.87838143,81.81818182,0.0,2.825587732,49.92627181,100.0,37.03703704,0.0,0.0,0.0,0.0,24.07407407,0.0,0.0,0.0,72.85714286,44.92753623
Congo,8.086308972,,0.0,0.0,,0.0,0.0,16.66666667,4.25,,,0.0,,0.0,25.0,100.0,0.006131456,30.0,96.2962963,0.0,0.0,,,,,,,32.75862069,,,,3.3000000000000003,,,,,9.145427286,36.28620102,,0.0,,10.29523531,,0.0,0.0,0.0,0.0,0.012652622,0.0,0.0,,0.005812517,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.011222085,4.721515172,,,,,0.010666667,0.0,,0.0,,0.0,0.0,25.17482517,0.0,13.68421053,23.88613861,,35.4657688,0.0,15.960712089999998,0.0,34.13173653,0.0,5.66,0.099305362,,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,87.42857143,28.985507250000005
Costa Rica,9.500463945,,0.0,0.0,52.27272727,0.0,0.0,16.66666667,64.62,22.83064174,22.83064174,0.0,52.02702702999999,0.0,77.27272727,84.59,0.008456492,85.0,38.62433862,0.0,0.0,77.5,56.25,,12.801484229999998,,,37.93103448,,31.588132639999998,4.95381229,55.66,,,,,10.61969015,72.57240204,50.30720079,0.0,89.41176471,33.89652148,,0.067658999,0.0,0.0,0.0,0.044284178,0.0,0.0,0.0,0.030515716,0.0,0.0,6.274926838,0.0,0.0,0.0,0.0,0.0,0.078554595,,2.305721605,,,,0.061333333,0.283687943,,0.0,,0.0,0.0,11.26760563,0.0,81.05263158,86.75742574,,61.391694730000005,0.0,63.01411909,0.0,20.35928144,17.0,71.23,29.60939891,58.58585859000001,0.0,0.275757985,50.30720079,45.69821328,2.469135802,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,76.57142857,34.7826087
Croatia,3.096149708,,0.0,0.0,31.818181820000003,0.0,0.0,50.0,61.31999999999999,11.314092,11.314092,0.0,,0.0,81.81818182,64.56,0.036674966,50.0,26.45502646,0.0,0.0,5.0,87.91666667,54.16145616,,35.53183378,30.0,53.44827586,,45.54973822,22.4019111,70.28,,,,,15.39230385,84.83816014,,0.0,,26.328558899999997,38.15789474,0.135317997,0.0,0.0,0.0,0.170810401,0.0,0.0,,0.071203336,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.078554595,23.17084199,1.280956447,0.152671756,,,0.461333333,0.141843972,0.0,0.0,63.830580049999995,0.0,0.0,8.886004001,0.0,,88.11881188,,68.79910213,0.0,23.91037446,0.0,14.37125749,17.0,68.4,16.99551776,64.64646465,0.0,1.9768866359999997,,,3.086419753,0.0,0.0,0.0,0.0,52.222222220000006,0.0,0.0,0.0,82.85714286,24.63768116
Cuba,4.71335129,,0.0,0.0,,0.0,0.0,2.77777778,36.32,96.4216771,96.4216771,0.0,,0.0,45.45454545,,,,,0.0,0.0,,51.66666667,,,,,,,,5.808814816,37.26,,,,,7.4962518739999995,65.41737649,,0.0,12.941176470000002,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,12.17630116,,,,,0.005333333,0.0,0.488997555,0.0,,0.0,0.0,37.35177866,0.0,83.15789474,24.00990099,,43.88327722,0.0,,0.0,,0.0,7.08,3.509889534,,0.0,,,,3.7037037039999996,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,95.42857143,37.68115942
Cyprus,10.21937026,28.514099199999997,0.0,0.0,19.6969697,0.0,0.0,65.27777778,68.87,12.87254579,12.87254579,0.0,34.90990991,0.0,88.63636364,51.95000000000001,0.057275483,60.0,28.042328040000005,0.0,0.0,32.5,69.16666667,73.48895373,,21.46397255,22.0,37.93103448,,60.90750436,14.94677804,75.47,,,,,22.76361819,89.77853492,,0.0,,27.47442268,40.78947368,0.47361299100000004,0.0,0.0,0.0,0.366926045,0.0,0.0,0.05133470200000001,0.310969673,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.8416563800000001,13.74740438,0.683176772,,,,0.11200000000000002,1.276595745,0.0,0.0,33.67283567,0.0,0.0,17.0300288,0.0,,,,67.78900112,0.0,46.13259669,0.0,17.36526946,4.0,75.47,35.27710496,63.636363640000006,0.0,2.164607022,,,1.8518518519999998,0.0,0.0,0.0,0.0,29.259259259999997,0.0,0.0,0.0,82.85714286,43.47826087
Czech Republic,16.82243564,,0.0,0.0,21.96969697,0.0,0.0,41.66666667,83.49,6.516314327,6.516314327,0.0,25.0,0.0,81.81818182,51.32,0.10771571400000002,70.0,21.16402116,0.0,0.0,27.500000000000004,71.25,,,,,77.5862069,,58.9877836,35.91998352,81.13,,,,,37.63118441,87.73424191,,0.0,,22.48757673,52.631578950000005,0.811907984,0.0,0.0,0.0,0.569368002,0.0,0.0,0.05133470200000001,0.38071988,0.0,0.0,45.58066875,0.0,0.0,0.0,0.0,0.0,0.740657614,51.23970125,2.561912895,0.0,0.0,0.0,1.44,1.560283688,,0.0,,0.0,0.0,61.21485026,0.0,,96.16336634,0.0,76.54320988,0.0,49.81583794,0.0,13.17365269,8.0,88.68,41.62064751,73.73737374,0.0,,,23.72414059,9.87654321,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,92.85714286,20.28985507
Denmark,46.41028257,13.37150195,0.0,0.0,6.818181818,0.0,0.0,38.88888889,99.53,15.391496769999998,15.391496769999998,0.0,,0.0,100.0,45.97,1.561544512,70.0,1.587301587,0.0,0.0,40.0,86.25,,,,,100.0,0.0,81.84991274,50.61591252000001,98.58,80.0,66.66666667,57.37704917999999,49.48453608,52.57371314,97.44463373,,0.0,,73.52236188,51.31578947,1.217861976,0.0,0.0,0.0,2.068703739,0.0,0.0,1.334702259,1.865818039,0.0,0.0,24.49576694,0.0,0.0,0.0,0.0,0.0,1.77308944,43.91302164,1.110162254,0.152671756,0.358851675,0.339213026,1.224,1.70212766,0.733496333,0.0,,0.0,0.0,41.14811634,0.0,90.52631579,,8.292682927,95.84736251,0.0,78.51442603,0.0,22.75449102,9.0,98.58,80.86446668,89.8989899,0.0,7.221412234999999,,31.00497431,3.086419753,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,85.71428571,72.46376812
Djibouti,0.0,,0.0,0.0,,0.0,0.0,30.55555556,14.62,,,0.0,,0.0,21.59090909,,,40.0,58.73015873000001,0.0,0.0,,,,,,,,,,,22.17,,,,,4.997501249,22.99829642,,0.0,,,,0.0,0.0,0.0,0.0,0.006326311,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,0.0,,0.0,0.0,19.63636364,0.0,34.73684211,30.81683168,,31.5375982,0.0,,0.0,,,18.87,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,25.42857143,0.0
Dominican Republic,9.17731891,,0.0,0.0,72.72727273,0.0,0.0,25.0,50.470000000000006,15.74462074,15.74462074,0.0,,0.0,62.5,73.68,0.0015319300000000001,45.0,60.31746032,0.0,0.0,62.5,45.41666667,86.82784494,2.41187384,53.04994281,79.0,32.75862069,,18.4991274,,50.0,,,,,7.4962518739999995,65.75809199,50.6266896,0.0,,12.31218942,,0.202976996,0.0,0.0,0.0,0.025305245,0.0,0.0,,0.014531293,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.011222085,6.279891486,0.170794193,,,,0.04,0.0,,0.0,76.58675941,0.0,0.0,9.350649352,0.0,69.47368421,65.96534653,,60.26936027000001,0.0,34.5150399,0.0,10.17964072,0.0,54.25,12.74758837,37.37373737,0.0,,50.6266896,,5.555555556,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,84.28571429,49.27536232
Ecuador,8.886653945,,0.0,0.0,78.78787879,0.0,0.0,30.55555556,26.890000000000004,11.85554875,11.85554875,0.0,26.12612613,0.0,68.18181818,8.29,0.023094595,45.0,67.72486772,0.0,0.0,47.5,28.749999999999996,45.65791302,,62.54288982,74.0,29.310344829999995,,15.88132635,,40.09,,,,,15.39230385,65.58773424,19.0218727,0.0,63.52941176,31.338789830000003,,0.067658999,0.0,0.0,0.0,0.025305245,0.0,0.0,,0.013078164,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.04488834,15.43790609,1.366353544,0.0,,,0.034666667,0.141843972,,0.0,51.645758289999996,0.0,0.0,10.74649617,0.0,84.21052632,58.16831683,,71.49270483,0.0,43.75383671,0.0,16.76646707,0.0,35.38,19.99567977,55.55555556,0.0,0.099682785,19.43966577,,13.58024691,0.0,0.0,0.0,0.0,18.7037037,0.0,0.0,0.0,90.28571429,42.02898551
Egypt,11.38190646,,0.0,0.0,64.39393939,0.0,0.0,37.5,42.45,1.6196619429999999,1.6196619429999999,0.0,30.405405410000004,0.0,56.81818182,59.4,0.238941668,65.0,59.78835979,0.0,0.0,5.0,28.749999999999996,65.98582743,19.66604824,26.49637819,9.0,24.13793103,,23.56020942,18.34969187,33.96,,,,,37.63118441,59.28449744,24.28115016,0.0,22.35294118,23.76205788,,1.217861976,0.0,0.0,0.0,0.525083824,0.0,0.0,0.154004107,0.290625863,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.49377174299999993,29.020363049999997,2.988898377,0.0,,0.0,0.565333333,1.560283688,6.845965770000001,0.0,63.358588999999995,0.0,0.0,15.72778739,0.0,82.10526316,30.94059406,0.0,44.55667789,0.0,16.91221608,0.0,10.77844311,10.0,24.53,5.0129707,39.39393939,0.0,0.665172978,22.11845662,,21.60493827,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,79.42857143,11.5942029
El Salvador,8.279299639,,0.0,0.0,73.48484848,0.0,0.0,16.66666667,24.06,16.18249447,16.18249447,0.0,34.00900901,0.0,52.27272727,69.08,0.00268485,80.0,47.61904762,0.0,0.0,77.5,50.833333329999995,,,,,13.79310345,,18.15008726,2.883342061,38.68,,,,,2.498750625,50.08517888,,0.0,,22.62788658,,0.0,0.0,0.0,0.0,0.006326311,0.0,0.0,,0.011625035,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.056110425,7.2007502180000005,0.085397097,,,,0.008,0.0,,0.0,,0.0,0.0,19.91755261,0.0,60.0,52.59900989999999,,46.8013468,0.0,28.54511971,0.0,21.55688623,0.0,34.91,19.99567977,,0.0,,,,3.7037037039999996,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,91.71428571,42.02898551
Equatorial Guinea,0.0,,0.0,0.0,,0.0,0.0,2.77777778,7.08,,,0.0,,0.0,20.45454545,,,40.0,93.65079365,0.0,0.0,,,,,,,,,,,9.91,,,,,,45.99659284,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,0.0,,0.0,0.0,25.17482517,0.0,,19.05940594,,33.10886644,0.0,,0.0,,,5.19,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,76.28571429,
Eritrea,,,0.0,0.0,,0.0,0.0,16.66666667,2.83,,,0.0,,0.0,9.090909091,,,0.0,99.47089947,0.0,0.0,,,,,,,,,,,3.7699999999999996,,,,,,19.25042589,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,,0.0,0.0,,0.0,38.94736842,2.227722772,,,0.0,,0.0,,,0.4699999999999999,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,84.28571429,79.71014493
Estonia,2.157579384,64.63160148,0.0,0.0,11.36363636,0.0,0.0,44.44444444,89.62,12.06742314,12.06742314,0.0,28.82882883,0.0,96.59090909,54.78000000000001,0.173030794,70.0,8.994708995,0.0,0.0,47.5,75.83333333,44.39349729,,45.13915364,31.0,70.68965517,,73.47294939,31.531416439999997,89.62,,,,,20.28985507,88.41567291,,0.0,97.64705882,26.071324169999997,52.631578950000005,0.676589987,0.0,0.0,0.0,0.7844625799999999,0.0,0.0,0.05133470200000001,0.5303922,0.0,0.0,58.723950349999996,0.0,0.0,0.0,0.0,0.0,0.8416563800000001,19.32865564,0.512382579,0.152671756,,,0.181333333,0.283687943,,0.0,45.68376599,0.0,0.0,6.612361697999999,0.0,,100.0,,87.87878788,0.0,55.31000614,0.0,12.574850299999998,12.0,92.92,45.5203581,26.262626259999998,0.0,10.52911063,,25.3686338,1.234567901,0.0,0.0,0.0,0.0,69.62962963,0.0,0.0,0.0,82.0,43.47826087
Eswatini,,,0.0,0.0,,0.0,0.0,,29.25,,,0.0,,0.0,40.90909091,,0.0,55.00000000000001,63.49206348999999,0.0,0.0,7.5,,,,,,,,,,26.419999999999998,,,,,,39.18228279,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,,0.0,0.0,,0.0,38.94736842,27.1039604,,15.82491582,0.0,22.95887047,0.0,,,23.58,7.289893654,,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
Ethiopia,18.80435033,,0.0,0.0,97.72727273,0.0,0.0,16.66666667,26.419999999999998,71.4157917,71.4157917,0.0,,0.0,22.72727273,0.0,0.010610885,15.0,83.5978836,0.0,0.0,7.5,42.5,,,,,32.75862069,,3.664921466,,24.06,,,,,15.39230385,19.08006814,,0.0,21.17647059,1.926337328,,0.202976996,0.0,0.0,0.0,0.031631556,0.0,0.0,,0.02179694,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.056110425,36.51801862,0.085397097,,,,0.141333333,0.283687943,,0.0,,0.0,0.0,21.28833872,0.0,27.36842105,28.83663366,,44.21997755,0.0,22.20687538,0.0,15.568862279999998,0.0,16.98,1.40407582,28.28282828,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,90.57142857,56.52173913
Fiji,,,0.0,0.0,,0.0,0.0,30.55555556,59.43000000000001,6.158482038,6.158482038,0.0,,0.0,60.22727273,,,25.0,53.43915344,0.0,0.0,,,,,,,,,,,71.23,,,,,13.49325337,59.4548552,,0.0,,,,0.0,0.0,0.0,0.0,0.006326311,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.25619129,,,,0.018666667,0.0,,0.0,,0.0,0.0,,0.0,84.21052632,,,46.01571268,0.0,,0.0,,,50.470000000000006,15.82545457,,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,88.0,34.7826087
Finland,53.39789613,36.75424046,0.0,0.0,4.545454545,0.0,0.0,44.44444444,100.0,8.305475776,8.305475776,0.0,6.306306306,0.0,97.72727273,42.04,0.608511134,60.0,10.05291005,0.0,0.0,25.0,80.83333333,,,38.14334731,38.0,86.20689655,,85.86387435,53.796215079999996,96.7,37.77777778,36.11111111,29.50819672,37.11340206,40.12993503,95.74105622,,0.0,,41.9087986,98.68421053,1.420838972,0.0,0.0,0.0,1.410767382,0.0,0.0,1.642710472,0.900940175,0.0,0.0,64.4198453,0.0,0.0,0.0,0.0,0.0,1.425204803,41.23266796,1.110162254,0.45801526700000006,0.0,0.339213026,1.04,1.134751773,1.466992665,0.0,60.04223078,0.0,0.0,51.52938704000001,0.0,95.78947368,,5.853658537,94.8372615,0.0,77.83916513,0.0,26.946107780000002,7.000000000000001,97.17,56.9018727,83.83838384,0.0,8.303948649,,17.41369541,5.555555556,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,79.71428571,59.42028986
France,40.54315624,8.983894269,0.0,0.0,8.333333333,0.0,0.0,28.249999999999996,85.38,12.56650501,12.56650501,0.0,15.09009009,0.0,89.77272727,52.0,4.739117902,50.0,16.93121693,0.0,0.0,7.5,53.33333333,57.88522996,,46.62600076,42.0,67.24137931,55.882352940000004,78.88307155,39.93621274,83.02,51.11111111000001,41.66666667,37.70491803,41.2371134,77.53623188,90.28960818,97.10002458,0.0,78.82352941,84.0456007,60.52631579,8.525033829,0.0,0.0,0.0,7.509331309,0.0,0.0,6.416837782,4.27946583,0.0,0.0,24.67989986,0.0,0.0,0.0,0.0,0.0,5.049938279,89.7958671,13.834329630000001,3.816793893,1.555023923,2.10312076,6.72,10.07092199,65.03667482,0.0,47.39783878,0.0,0.0,50.23941663,0.0,94.73684211,,57.56097561,75.30864198,0.0,55.93922652,0.0,40.71856287,10.0,85.38,51.211165400000006,91.91919192,0.0,11.44675123,97.10002458,11.19535239,29.629629629999997,0.0,0.0,0.0,0.0,64.62962963,0.0,0.0,0.0,79.42857143,42.02898551
